game_name, discount
The Immortal Mayor,-15%
Solasta: Crown of the Magister,-20%
Breathedge,-30%
Dream Engines: Nomad Cities,-10%
Maneater,-40%
Airport CEO,-50%
Magical Valkyrie Lyristia,-10%
SuchArt: Genius Artist Simulator,-10%
TasteMaker: Restaurant Simulator,-20%
Endzone - A World Apart,-25%
Imagine Earth,-30%
Distant Memoraĵo,-10%
Creepy Tale 2,-10%
卡牌缔造者-CardMaker,-10%
Girl Jigsaw 2,-18%
Halo: The Master Chief Collection,-50%
Sid Meier’s Civilization® VI,-75%
No Man's Sky,-50%
Control Ultimate Edition,-60%
Red Dead Redemption 2,-33%
Mafia: Definitive Edition,-40%
She Will Punish Them,-40%
Red Dead Online,-50%
Mafia Trilogy,-45%
Breathedge,-30%
Sid Meier’s Civilization® VI: Rise and Fall,-67%
Solasta: Crown of the Magister,-20%
Sid Meier's Civilization® VI: Gathering Storm,-75%
Space Haven,-25%
BioShock: The Collection,-80%
Sid Meier’s Civilization® VI,-75%
Euro Truck Simulator 2,-75%
Red Dead Redemption 2,-33%
NBA 2K21,-67%
Halo: The Master Chief Collection,-50%
Company of Heroes Franchise Edition,-75%
Company of Heroes 2,-95%
She Will Punish Them,-40%
American Truck Simulator,-75%
No Man's Sky,-50%
Warhammer: Vermintide 2,-75%
Red Dead Online,-50%
They Are Billions,-10%
The Immortal Mayor,-15%
Streets of Rage 4,-40%
Death's Door Deluxe Edition,-15%
Death's Door,-15%
Night Book,-10%
FINAL FANTASY,-20%
FINAL FANTASY II,-20%
FINAL FANTASY III,-20%
The Ascent,-10%
City of Gangsters,-15%
ICARUS,-10%
HUMANKIND™,-17%
Aragami 2,-15%
Lemnis Gate,-20%
Disciples: Liberation,-10%
